sample_key,status,output_path,downloaded_bytes,estimated_total_bytes,error_message
accordion/QaOUijKCqZU,error,/mnt/e/raw_videos/accordion/QaOUijKCqZU.mp4,0,,yt-dlp exited with code 1
accordion/XZ1rUpbdu-Y,error,/mnt/e/raw_videos/accordion/XZ1rUpbdu-Y.mp4,0,,yt-dlp exited with code 1
accordion/UYp3dKioAao,error,/mnt/e/raw_videos/accordion/UYp3dKioAao.mp4,0,,yt-dlp exited with code 1
accordion/z7HytxDeMwE,error,/mnt/e/raw_videos/accordion/z7HytxDeMwE.mp4,0,,yt-dlp exited with code 1
accordion/BH1RcLuHUo8,error,/mnt/e/raw_videos/accordion/BH1RcLuHUo8.mp4,0,,yt-dlp exited with code 1
accordion/_jPFkOkNjuo,error,/mnt/e/raw_videos/accordion/_jPFkOkNjuo.mp4,0,,yt-dlp exited with code 1
accordion/wL4D9BQ_wr8,error,/mnt/e/raw_videos/accordion/wL4D9BQ_wr8.mp4,0,,yt-dlp exited with code 1
accordion/5kokiot2yJ4,error,/mnt/e/raw_videos/accordion/5kokiot2yJ4.mp4,86134767,,yt-dlp exited with code 1
accordion/2Wq8myJhgF8,error,/mnt/e/raw_videos/accordion/2Wq8myJhgF8.mp4,0,,yt-dlp exited with code 1
accordion/eHRaPghrs7g,error,/mnt/e/raw_videos/accordion/eHRaPghrs7g.mp4,0,,yt-dlp exited with code 1
accordion/tV-8PV6ZR8M,error,/mnt/e/raw_videos/accordion/tV-8PV6ZR8M.mp4,25520831,,yt-dlp exited with code 1
accordion/sZyiS_9Znck,error,/mnt/e/raw_videos/accordion/sZyiS_9Znck.mp4,0,,yt-dlp exited with code 1
accordion/P2wNohBVjoQ,error,/mnt/e/raw_videos/accordion/P2wNohBVjoQ.mp4,0,,yt-dlp exited with code 1
accordion/oKxbEZp3bSw,error,/mnt/e/raw_videos/accordion/oKxbEZp3bSw.mp4,0,,yt-dlp exited with code 1
acoustic_guitar/6iwM-TwXvPA,error,/mnt/e/raw_videos/acoustic_guitar/6iwM-TwXvPA.mp4,0,,yt-dlp exited with code 1
acoustic_guitar/416UlJvv3aA,error,/mnt/e/raw_videos/acoustic_guitar/416UlJvv3aA.mp4,0,,yt-dlp exited with code 1
acoustic_guitar/HaX5E66eW24,error,/mnt/e/raw_videos/acoustic_guitar/HaX5E66eW24.mp4,0,,yt-dlp exited with code 1
acoustic_guitar/72yB-xyIcGI,error,/mnt/e/raw_videos/acoustic_guitar/72yB-xyIcGI.mp4,0,,yt-dlp exited with code 1
acoustic_guitar/9f7XNFTs0oc,error,/mnt/e/raw_videos/acoustic_guitar/9f7XNFTs0oc.mp4,0,,yt-dlp exited with code 1
acoustic_guitar/9npqVThPBw0,error,/mnt/e/raw_videos/acoustic_guitar/9npqVThPBw0.mp4,0,,yt-dlp exited with code 1
acoustic_guitar/1MiyvDB_bzM,error,/mnt/e/raw_videos/acoustic_guitar/1MiyvDB_bzM.mp4,0,,yt-dlp exited with code 1
acoustic_guitar/ZANyOBEWiJA,error,/mnt/e/raw_videos/acoustic_guitar/ZANyOBEWiJA.mp4,0,,yt-dlp exited with code 1
