instrument,youtube_id,sample_key,video_path,sample_dir
accordion,iB17xqmFw3A,accordion/iB17xqmFw3A,raw_videos/accordion/iB17xqmFw3A.mp4,processed/accordion/iB17xqmFw3A
accordion,QaOUijKCqZU,accordion/QaOUijKCqZU,raw_videos/accordion/QaOUijKCqZU.mp4,processed/accordion/QaOUijKCqZU
accordion,yy2vL2RUiPI,accordion/yy2vL2RUiPI,raw_videos/accordion/yy2vL2RUiPI.mp4,processed/accordion/yy2vL2RUiPI
accordion,A2p8VW61RGc,accordion/A2p8VW61RGc,raw_videos/accordion/A2p8VW61RGc.mp4,processed/accordion/A2p8VW61RGc
accordion,Q-Jkk6mJ8AI,accordion/Q-Jkk6mJ8AI,raw_videos/accordion/Q-Jkk6mJ8AI.mp4,processed/accordion/Q-Jkk6mJ8AI
accordion,1mCi6eWXVbg,accordion/1mCi6eWXVbg,raw_videos/accordion/1mCi6eWXVbg.mp4,processed/accordion/1mCi6eWXVbg
accordion,PMDSfAZ4-eo,accordion/PMDSfAZ4-eo,raw_videos/accordion/PMDSfAZ4-eo.mp4,processed/accordion/PMDSfAZ4-eo
accordion,E6jlrR-M3tk,accordion/E6jlrR-M3tk,raw_videos/accordion/E6jlrR-M3tk.mp4,processed/accordion/E6jlrR-M3tk
accordion,XZ1rUpbdu-Y,accordion/XZ1rUpbdu-Y,raw_videos/accordion/XZ1rUpbdu-Y.mp4,processed/accordion/XZ1rUpbdu-Y
accordion,2gyrqiqTuiM,accordion/2gyrqiqTuiM,raw_videos/accordion/2gyrqiqTuiM.mp4,processed/accordion/2gyrqiqTuiM
accordion,OnT8HuJuuIA,accordion/OnT8HuJuuIA,raw_videos/accordion/OnT8HuJuuIA.mp4,processed/accordion/OnT8HuJuuIA
accordion,c7Jyu_OiEB0,accordion/c7Jyu_OiEB0,raw_videos/accordion/c7Jyu_OiEB0.mp4,processed/accordion/c7Jyu_OiEB0
accordion,qBnsIqyXheM,accordion/qBnsIqyXheM,raw_videos/accordion/qBnsIqyXheM.mp4,processed/accordion/qBnsIqyXheM
accordion,7C-udYVfjoY,accordion/7C-udYVfjoY,raw_videos/accordion/7C-udYVfjoY.mp4,processed/accordion/7C-udYVfjoY
accordion,MnoQccPJbyM,accordion/MnoQccPJbyM,raw_videos/accordion/MnoQccPJbyM.mp4,processed/accordion/MnoQccPJbyM
accordion,UYp3dKioAao,accordion/UYp3dKioAao,raw_videos/accordion/UYp3dKioAao.mp4,processed/accordion/UYp3dKioAao
accordion,z7HytxDeMwE,accordion/z7HytxDeMwE,raw_videos/accordion/z7HytxDeMwE.mp4,processed/accordion/z7HytxDeMwE
